planetlab-04.cs.princeton.edu,54.240.228.49,Ashburn,AS16509 Amazon.com, Inc.
whitefall.planetlab.cs.umd.edu,72.21.220.25,Ashburn,AS16509 Amazon.com, Inc.
node1.planetlab.mathcs.emory.edu,72.21.220.25,Ashburn,AS16509 Amazon.com, Inc.
planetlab1.cs.uoregon.edu,72.21.220.25,Ashburn,AS16509 Amazon.com, Inc.
planetlab2.cs.ubc.ca,205.251.226.69,Seattle,AS16509 Amazon.com, Inc.
planetlab2.inf.ethz.ch,54.239.5.229,Frankfurt am Main,AS16509 Amazon.com, Inc.
planetlab1.cesnet.cz,54.239.5.223,Frankfurt am Main,AS16509 Amazon.com, Inc.
planetlab1.cs.ubc.ca,205.251.226.85,Seattle,AS16509 Amazon.com, Inc.
planetlab2.pop-mg.rnp.br,54.240.244.42,São Paulo,AS16509 Amazon.com, Inc.
planetlab-02.bu.edu,54.240.217.61,Ashburn,AS16509 Amazon.com, Inc.
planetlab1.pop-mg.rnp.br,54.240.244.42,São Paulo,AS16509 Amazon.com, Inc.
planetlab2.cs.purdue.edu,72.21.220.25,Ashburn,AS16509 Amazon.com, Inc.
plink.cs.uwaterloo.ca,72.21.220.25,Ashburn,AS16509 Amazon.com, Inc.
planetlab02.cs.washington.edu,72.21.220.25,Ashburn,AS16509 Amazon.com, Inc.
planetlab-5.eecs.cwru.edu,72.21.220.25,Ashburn,AS16509 Amazon.com, Inc.
planetlab5.ie.cuhk.edu.hk,176.32.124.18,Amsterdam,
planet-lab-node2.netgroup.uniroma2.it,54.239.5.225,Frankfurt am Main,AS16509 Amazon.com, Inc.
ple1.planet-lab.eu,178.236.1.89,Dublin,AS16509 Amazon.com, Inc.
ple2.planet-lab.eu,178.236.1.95,Dublin,AS16509 Amazon.com, Inc.
planetlab4.mini.pw.edu.pl,54.239.5.223,Frankfurt am Main,AS16509 Amazon.com, Inc.
planetlab04.cs.washington.edu,72.21.220.25,Ashburn,AS16509 Amazon.com, Inc.
planetlab1.postel.org,205.251.231.118,San Jose,AS16509 Amazon.com, Inc.
planetlab3.comp.nus.edu.sg,27.0.2.1,Tokyo,AS16509 Amazon.com, Inc.
planetlab1.cs.okstate.edu,,,
