node1.planetlab.mathcs.emory.edu,64.57.30.3,Ann Arbor,AS11537 Internet2
planetlab2.cs.ubc.ca,216.218.230.134,Placerville,AS6939 Hurricane Electric LLC
planetlab2.inf.ethz.ch,80.81.195.152,Frankfurt am Main,AS47872 Sofia Connect EAD
planetlab1.cesnet.cz,91.210.16.120,Prague,
planetlab1.cs.ubc.ca,216.218.230.134,Placerville,AS6939 Hurricane Electric LLC
planetlab2.pop-mg.rnp.br,64.214.62.142,Southampton,AS3549 Level 3 Parent, LLC
planetlab-02.bu.edu,4.14.156.166,New York,AS3356 Level 3 Parent, LLC
planetlab-5.eecs.cwru.edu,64.57.30.39,Ann Arbor,AS11537 Internet2
planetlab1.pop-mg.rnp.br,64.214.62.142,Southampton,AS3549 Level 3 Parent, LLC
planetlab2.cs.purdue.edu,64.57.30.3,Ann Arbor,AS11537 Internet2
plink.cs.uwaterloo.ca,64.71.241.110,Toronto (Old Toronto),AS812 Rogers Communications Canada Inc.
planetlab02.cs.washington.edu,64.57.30.39,Ann Arbor,AS11537 Internet2
planetlab5.ie.cuhk.edu.hk,14.136.129.214,Central,AS9269 Hong Kong Broadband Network Ltd.
planet-lab-node2.netgroup.uniroma2.it,80.81.195.152,Frankfurt am Main,AS47872 Sofia Connect EAD
ple1.planet-lab.eu,185.6.36.50,Dublin,AS2128 Internet Neutral Exchange Association Limited
ple2.planet-lab.eu,185.6.36.50,Dublin,AS2128 Internet Neutral Exchange Association Limited
planetlab4.mini.pw.edu.pl,62.40.98.130,Saint Neots,AS20965 GEANT Limited
planetlab04.cs.washington.edu,64.57.30.3,Ann Arbor,AS11537 Internet2
planetlab1.postel.org,198.32.176.217,Houston,
